Age	Attrition	BusinessTravel	Gender	JobLevel	JobRole	JobSatisfaction	MonthlyIncome	NumCompaniesWorked	OverTime	PercentSalaryHike	TotalWorkingYears	YearsAtCompany
32	Yes	Travel_Frequently	Female	1	Research Scientist	1	3919	1	Yes	22	10	10
42	No	Travel_Rarely	Male	2	Sales Executive	2	6825	0	No	11	10	9
44	No	Travel_Rarely	Female	3	Healthcare Representative	4	10248	3	No	14	24	22
46	No	Travel_Rarely	Female	5	Manager	1	18947	3	No	12	22	2
33	No	Travel_Rarely	Male	1	Laboratory Technician	4	2496	4	No	11	7	1
44	No	Travel_Rarely	Male	2	Healthcare Representative	4	6465	2	Yes	13	9	4
30	No	Travel_Rarely	Male	1	Laboratory Technician	3	2206	1	No	13	10	10
39	Yes	Travel_Rarely	Male	2	Sales Representative	4	2086	3	No	14	19	1
24	Yes	Travel_Rarely	Male	1	Research Scientist	4	2293	2	Yes	16	6	2
43	No	Travel_Rarely	Female	1	Research Scientist	3	2645	1	No	12	6	5
50	Yes	Travel_Rarely	Male	1	Sales Representative	3	2683	1	Yes	14	3	3
35	No	Travel_Rarely	Female	1	Sales Representative	4	2014	1	No	13	2	2
36	No	Travel_Rarely	Female	1	Research Scientist	1	3419	9	Yes	14	6	1
33	No	Travel_Frequently	Female	2	Sales Executive	1	5376	2	No	19	10	5
35	No	Travel_Rarely	Male	1	Laboratory Technician	4	1951	1	No	12	1	1
27	No	Travel_Rarely	Female	1	Laboratory Technician	1	2341	1	No	13	1	1
26	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	2293	1	No	12	1	1
27	No	Travel_Frequently	Male	3	Sales Executive	3	8726	1	No	15	9	9
30	No	Travel_Frequently	Female	2	Laboratory Technician	4	4011	1	No	23	12	12
41	Yes	Travel_Rarely	Female	5	Research Director	3	19545	1	No	12	23	22
34	No	Non-Travel	Male	2	Sales Executive	3	4568	0	No	20	10	9
37	No	Travel_Rarely	Male	1	Research Scientist	2	3022	4	No	21	8	1
46	No	Travel_Frequently	Male	2	Sales Executive	4	5772	4	Yes	21	14	9
35	No	Travel_Rarely	Male	1	Laboratory Technician	4	2269	1	No	19	1	1
48	Yes	Travel_Rarely	Male	3	Laboratory Technician	3	5381	9	Yes	13	23	1
28	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	3441	1	Yes	13	2	2
44	No	Travel_Rarely	Female	2	Sales Executive	1	5454	5	Yes	21	9	4
35	No	Non-Travel	Male	3	Healthcare Representative	1	9884	2	Yes	13	10	4
26	No	Travel_Rarely	Female	2	Sales Executive	4	4157	7	Yes	19	5	2
33	No	Travel_Frequently	Female	3	Research Director	4	13458	1	Yes	12	15	15
35	No	Travel_Frequently	Male	3	Sales Executive	1	9069	1	No	22	9	9
35	No	Travel_Rarely	Female	1	Laboratory Technician	1	4014	3	Yes	15	4	2
31	No	Travel_Rarely	Male	2	Laboratory Technician	4	5915	3	No	22	10	7
37	No	Travel_Rarely	Male	2	Manufacturing Director	3	5993	1	No	18	7	7
32	No	Travel_Rarely	Male	2	Manufacturing Director	4	6162	1	Yes	22	9	9
38	No	Travel_Frequently	Female	2	Laboratory Technician	4	2406	1	No	11	10	10
50	No	Travel_Rarely	Female	5	Research Director	3	18740	5	Yes	12	29	27
59	No	Travel_Rarely	Female	3	Sales Executive	1	7637	7	No	11	28	21
36	No	Travel_Rarely	Female	3	Healthcare Representative	3	10096	1	No	13	17	17
55	No	Travel_Rarely	Female	4	Manager	3	14756	2	Yes	14	21	5
36	No	Travel_Frequently	Male	2	Manufacturing Director	2	6499	1	No	13	6	6
45	No	Travel_Rarely	Male	3	Research Scientist	1	9724	2	No	17	25	1
35	No	Travel_Frequently	Male	1	Research Scientist	1	2194	4	No	13	5	3
36	Yes	Travel_Rarely	Male	1	Research Scientist	3	3388	0	Yes	17	2	1
59	No	Travel_Frequently	Female	2	Sales Executive	3	5473	7	No	11	20	4
29	No	Travel_Rarely	Male	1	Research Scientist	2	2703	0	No	23	6	5
31	No	Travel_Rarely	Male	1	Research Scientist	2	2501	1	No	17	1	1
32	No	Travel_Rarely	Male	2	Research Scientist	2	6220	1	No	17	10	10
36	No	Travel_Rarely	Female	1	Laboratory Technician	4	3038	3	No	12	5	1
31	No	Travel_Rarely	Female	2	Manufacturing Director	4	4424	1	No	23	11	11
35	No	Travel_Rarely	Male	2	Sales Executive	1	4312	0	No	14	16	15
45	No	Travel_Rarely	Male	3	Research Director	1	13245	4	Yes	14	17	0
37	No	Travel_Rarely	Male	3	Research Director	3	13664	4	No	13	16	5
46	No	Travel_Rarely	Male	2	Human Resources	2	5021	8	Yes	22	16	4
30	No	Travel_Rarely	Male	2	Laboratory Technician	4	5126	1	Yes	12	10	10
35	No	Travel_Rarely	Male	1	Research Scientist	3	2859	1	No	18	6	6
55	No	Travel_Rarely	Male	3	Sales Executive	4	10239	3	No	14	24	1
38	No	Non-Travel	Female	2	Research Scientist	4	5329	7	Yes	12	17	13
34	No	Travel_Rarely	Male	2	Manufacturing Director	2	4325	1	No	15	5	5
56	No	Travel_Rarely	Male	3	Manufacturing Director	4	7260	4	No	11	37	6
23	No	Travel_Rarely	Male	1	Sales Representative	1	2322	3	No	13	3	0
51	No	Travel_Rarely	Male	1	Laboratory Technician	4	2075	3	No	23	10	4
30	No	Travel_Rarely	Male	2	Healthcare Representative	4	4152	1	No	19	11	11
46	Yes	Travel_Rarely	Male	3	Sales Executive	4	9619	1	No	16	9	9
40	No	Travel_Frequently	Male	4	Healthcare Representative	2	13503	1	No	22	22	22
51	No	Travel_Rarely	Male	2	Sales Executive	4	5441	0	Yes	22	11	10
30	No	Travel_Rarely	Female	2	Sales Executive	2	5209	1	Yes	12	11	11
46	No	Travel_Frequently	Male	3	Healthcare Representative	1	10673	2	Yes	13	21	10
32	No	Travel_Rarely	Male	2	Sales Executive	3	5010	1	No	16	12	11
54	No	Travel_Rarely	Female	3	Research Director	3	13549	9	No	12	16	4
24	No	Travel_Rarely	Female	2	Sales Executive	3	4999	0	No	21	4	3
28	No	Non-Travel	Male	2	Sales Executive	3	4221	1	No	15	5	5
58	No	Travel_Rarely	Male	4	Sales Executive	3	13872	0	No	13	38	37
44	No	Non-Travel	Male	2	Laboratory Technician	2	2042	4	No	12	17	3
37	Yes	Travel_Rarely	Male	1	Human Resources	1	2073	4	Yes	22	7	3
32	No	Travel_Rarely	Male	1	Research Scientist	1	2956	1	No	13	1	1
20	Yes	Travel_Frequently	Female	1	Laboratory Technician	4	2926	1	Yes	18	1	1
34	No	Travel_Rarely	Female	2	Research Scientist	3	4809	1	No	14	16	16
37	No	Non-Travel	Male	2	Healthcare Representative	4	5163	5	No	14	17	1
59	No	Non-Travel	Female	5	Manager	4	18844	9	No	21	30	3
50	No	Travel_Frequently	Female	5	Research Director	2	18172	3	Yes	19	28	8
25	Yes	Travel_Rarely	Male	2	Sales Executive	3	5744	1	Yes	11	6	6
25	No	Travel_Rarely	Male	1	Research Scientist	4	2889	1	No	11	2	2
22	No	Travel_Rarely	Female	1	Laboratory Technician	4	2871	1	No	15	1	0
51	No	Travel_Frequently	Female	3	Healthcare Representative	1	7484	3	No	20	23	13
34	Yes	Travel_Frequently	Male	2	Laboratory Technician	3	6074	1	Yes	24	9	9
54	No	Non-Travel	Female	4	Manager	4	17328	2	Yes	12	23	5
24	No	Travel_Rarely	Male	1	Laboratory Technician	3	2774	0	No	12	6	5
34	No	Travel_Rarely	Female	2	Research Scientist	2	4505	6	No	15	12	1
37	No	Travel_Rarely	Male	3	Sales Executive	4	7428	2	No	12	12	5
34	No	Travel_Rarely	Female	3	Manager	1	11631	2	No	12	14	11
36	No	Travel_Frequently	Female	3	Sales Executive	4	9738	0	No	14	10	9
36	No	Travel_Rarely	Female	1	Laboratory Technician	4	2835	5	No	22	7	1
43	No	Travel_Frequently	Male	4	Manager	4	16959	1	Yes	12	25	25
30	No	Travel_Frequently	Male	1	Research Scientist	3	2613	1	No	25	10	10
33	No	Non-Travel	Male	2	Sales Executive	2	6146	0	No	13	8	7
56	Yes	Travel_Rarely	Female	1	Research Scientist	2	4963	9	Yes	18	7	5
51	No	Travel_Rarely	Male	5	Research Director	3	19537	7	No	13	23	20
31	Yes	Travel_Rarely	Male	2	Sales Executive	3	6172	4	Yes	18	12	7
26	No	Travel_Rarely	Female	1	Research Scientist	2	2368	1	No	19	5	5
58	Yes	Travel_Rarely	Female	3	Healthcare Representative	4	10312	1	No	12	40	40
19	Yes	Travel_Rarely	Male	1	Sales Representative	3	1675	1	Yes	19	0	0
22	No	Travel_Rarely	Male	1	Laboratory Technician	4	2523	0	No	14	3	2
49	No	Travel_Rarely	Female	2	Manufacturing Director	1	6567	1	No	14	16	15
43	No	Travel_Frequently	Female	1	Research Scientist	3	4739	4	No	12	18	3
50	No	Travel_Frequently	Female	3	Sales Executive	4	9208	4	No	11	16	2
31	Yes	Travel_Rarely	Female	2	Sales Executive	3	4559	3	Yes	11	4	2
41	No	Travel_Rarely	Male	3	Sales Executive	3	8189	3	Yes	13	12	9
26	No	Travel_Rarely	Female	1	Human Resources	3	2942	1	No	23	8	8
36	No	Travel_Rarely	Male	2	Manufacturing Director	2	4941	6	No	20	7	3
51	Yes	Travel_Frequently	Male	3	Manufacturing Director	4	10650	2	No	15	18	4
39	No	Travel_Rarely	Female	2	Sales Executive	3	5902	4	No	14	17	15
25	No	Travel_Rarely	Male	2	Sales Executive	3	8639	2	No	18	6	2
30	No	Travel_Rarely	Male	2	Human Resources	4	6347	0	Yes	19	12	11
32	Yes	Travel_Rarely	Female	1	Laboratory Technician	1	4200	7	No	22	10	5
45	No	Travel_Rarely	Male	1	Research Scientist	4	3452	5	No	13	9	6
38	No	Travel_Rarely	Female	2	Research Scientist	3	4317	3	Yes	20	19	3
30	No	Travel_Rarely	Female	1	Research Scientist	3	2632	1	No	14	5	5
32	No	Travel_Frequently	Male	2	Sales Executive	4	4668	0	No	17	9	8
30	No	Travel_Rarely	Female	1	Research Scientist	1	3204	5	No	14	8	3
30	No	Travel_Rarely	Male	1	Laboratory Technician	4	2720	0	No	13	6	5
41	No	Travel_Frequently	Male	4	Manager	1	17181	4	No	13	21	7
41	No	Travel_Rarely	Male	1	Laboratory Technician	1	2238	2	No	21	7	5
19	No	Travel_Rarely	Female	1	Laboratory Technician	2	1483	1	No	14	1	1
40	No	Travel_Frequently	Female	2	Research Scientist	2	5605	1	No	11	20	20
35	No	Travel_Rarely	Male	3	Sales Executive	2	7295	1	No	13	10	10
53	No	Travel_Rarely	Male	2	Sales Representative	3	2306	2	Yes	20	13	7
45	No	Travel_Rarely	Male	2	Laboratory Technician	2	2348	8	No	18	20	17
32	No	Travel_Frequently	Female	3	Sales Executive	4	8998	1	No	14	9	9
29	No	Non-Travel	Male	2	Manufacturing Director	3	4319	1	No	13	10	10
51	No	Travel_Rarely	Male	2	Manufacturing Director	3	6132	2	No	17	10	1
58	No	Travel_Rarely	Female	1	Research Scientist	2	3346	4	Yes	20	9	1
40	No	Travel_Rarely	Male	3	Sales Executive	4	10855	7	No	11	15	12
34	No	Travel_Frequently	Female	1	Sales Representative	3	2231	6	No	18	6	4
22	No	Travel_Rarely	Male	1	Research Scientist	4	2323	1	No	24	2	2
27	No	Non-Travel	Male	1	Research Scientist	2	2024	6	No	18	6	2
28	No	Travel_Rarely	Male	1	Research Scientist	4	2713	1	No	11	5	5
57	No	Travel_Rarely	Male	3	Healthcare Representative	4	9439	3	Yes	16	12	5
27	No	Non-Travel	Male	1	Research Scientist	3	2566	1	Yes	15	1	1
50	No	Travel_Rarely	Female	5	Manager	2	19926	3	No	15	21	5
41	No	Travel_Rarely	Male	1	Research Scientist	3	2451	4	No	12	13	9
30	No	Travel_Rarely	Female	3	Sales Executive	4	9419	2	No	12	12	10
38	No	Travel_Rarely	Female	2	Sales Executive	4	8686	4	No	22	12	8
32	No	Travel_Rarely	Male	1	Research Scientist	3	3038	3	No	20	8	5
27	No	Travel_Rarely	Male	1	Research Scientist	2	3058	0	Yes	16	6	5
19	Yes	Travel_Frequently	Female	1	Sales Representative	1	2325	0	No	21	1	0
36	No	Travel_Frequently	Male	1	Laboratory Technician	2	2088	4	No	12	13	8
30	No	Non-Travel	Male	2	Laboratory Technician	1	3072	1	No	11	12	12
45	No	Travel_Rarely	Female	2	Sales Executive	1	5006	4	Yes	11	9	5
56	No	Travel_Rarely	Female	1	Research Scientist	1	4257	4	Yes	18	19	2
33	No	Travel_Rarely	Male	1	Research Scientist	4	2500	0	No	14	4	3
19	Yes	Travel_Rarely	Male	1	Laboratory Technician	4	1102	1	No	22	1	1
46	No	Travel_Rarely	Female	3	Sales Executive	1	10453	1	No	25	24	24
38	No	Travel_Rarely	Female	1	Laboratory Technician	4	2288	1	No	12	2	2
31	No	Travel_Rarely	Female	1	Research Scientist	4	3929	8	Yes	23	7	4
34	No	Travel_Rarely	Female	1	Research Scientist	2	2311	2	No	15	9	3
41	Yes	Travel_Rarely	Female	1	Sales Representative	2	3140	1	Yes	22	4	4
50	No	Travel_Rarely	Male	1	Laboratory Technician	3	3690	2	No	15	5	3
53	No	Travel_Rarely	Female	2	Manufacturing Director	1	4450	1	No	11	5	4
33	No	Travel_Rarely	Female	1	Research Scientist	2	2756	1	No	13	8	8
40	No	Travel_Rarely	Female	5	Manager	3	19033	1	No	14	21	20
55	No	Travel_Rarely	Male	5	Research Director	2	18722	8	No	11	36	24
34	No	Travel_Frequently	Male	2	Manufacturing Director	3	9547	1	No	17	10	10
51	No	Travel_Rarely	Female	4	Healthcare Representative	2	13734	3	No	18	21	7
52	No	Travel_Rarely	Male	5	Manager	3	19999	0	No	14	34	33
27	No	Travel_Rarely	Female	1	Research Scientist	2	2279	1	No	16	7	7
35	Yes	Travel_Rarely	Male	2	Manufacturing Director	3	5916	3	Yes	13	8	1
43	No	Non-Travel	Male	1	Research Scientist	4	2089	4	No	14	7	5
45	No	Non-Travel	Male	4	Manager	4	16792	9	No	23	22	20
37	No	Travel_Rarely	Male	1	Research Scientist	1	3564	1	Yes	12	8	8
35	No	Travel_Frequently	Female	2	Laboratory Technician	2	4425	5	No	11	10	6
42	No	Non-Travel	Female	2	Manufacturing Director	3	5265	2	No	16	11	5
38	No	Travel_Rarely	Male	2	Manufacturing Director	3	6553	9	No	14	14	1
38	No	Travel_Rarely	Male	2	Manufacturing Director	4	6261	3	No	18	9	7
27	No	Travel_Frequently	Male	2	Manufacturing Director	1	4298	5	No	19	6	2
49	No	Non-Travel	Male	2	Manufacturing Director	4	6804	1	Yes	15	7	7
34	No	Travel_Frequently	Male	1	Research Scientist	3	3815	1	Yes	17	5	5
40	No	Travel_Rarely	Male	2	Laboratory Technician	4	2741	8	Yes	15	15	7
38	Yes	Travel_Rarely	Male	2	Healthcare Representative	1	6673	7	Yes	19	17	1
29	Yes	Travel_Rarely	Female	3	Sales Executive	4	7639	1	No	22	10	10
22	No	Travel_Rarely	Male	1	Research Scientist	2	2328	1	Yes	16	4	4
36	No	Travel_Frequently	Female	1	Laboratory Technician	4	2153	1	No	13	8	8
40	No	Non-Travel	Male	2	Healthcare Representative	4	4876	9	No	14	5	3
46	No	Travel_Rarely	Male	3	Healthcare Representative	1	9396	7	No	16	17	4
32	Yes	Travel_Rarely	Male	3	Sales Executive	4	10400	1	No	11	14	14
30	No	Non-Travel	Male	3	Manufacturing Director	3	8474	1	No	22	12	11
27	No	Travel_Frequently	Female	2	Sales Executive	3	9981	1	No	14	7	7
51	No	Travel_Rarely	Male	3	Research Director	2	12490	5	No	16	16	10
30	Yes	Travel_Rarely	Female	1	Research Scientist	1	2657	5	Yes	11	8	5
41	No	Travel_Rarely	Female	3	Manager	4	13591	3	Yes	18	16	1
30	Yes	Travel_Frequently	Female	2	Sales Executive	1	6696	5	No	15	9	6
29	Yes	Travel_Rarely	Male	1	Research Scientist	3	2058	0	No	14	7	6
45	No	Non-Travel	Female	3	Sales Executive	4	8865	6	No	12	23	19
54	No	Travel_Rarely	Female	2	Sales Executive	1	5940	2	No	14	16	6
36	No	Travel_Rarely	Male	2	Laboratory Technician	2	5914	8	No	16	16	13
33	No	Travel_Rarely	Female	1	Research Scientist	2	2622	6	No	21	7	3
37	No	Travel_Frequently	Male	3	Research Director	4	12185	1	Yes	14	10	10
38	No	Travel_Rarely	Male	3	Sales Executive	3	10609	0	No	12	17	16
31	No	Non-Travel	Male	2	Manufacturing Director	3	4345	0	No	12	6	5
59	No	Travel_Rarely	Male	1	Research Scientist	4	2177	3	No	17	7	1
37	No	Travel_Frequently	Male	1	Sales Representative	4	2793	4	No	17	13	9
29	No	Travel_Frequently	Female	3	Sales Executive	4	7918	1	No	14	11	11
35	No	Travel_Frequently	Female	3	Sales Executive	3	8789	1	No	14	10	10
29	Yes	Travel_Rarely	Male	1	Research Scientist	4	2389	1	Yes	13	4	4
52	No	Travel_Rarely	Female	1	Laboratory Technician	4	3212	7	No	15	6	2
42	No	Travel_Rarely	Male	5	Manager	4	19232	1	No	11	22	22
59	No	Travel_Rarely	Male	1	Human Resources	3	2267	8	No	17	7	2
50	No	Travel_Rarely	Female	5	Manager	4	19517	3	No	11	32	7
33	Yes	Travel_Rarely	Male	1	Laboratory Technician	4	2436	5	Yes	13	8	5
43	No	Travel_Rarely	Female	4	Manager	4	16064	5	Yes	22	22	17
33	Yes	Travel_Rarely	Female	1	Laboratory Technician	1	2707	7	No	20	13	9
52	No	Non-Travel	Male	5	Manager	3	19068	1	Yes	18	33	33
32	No	Travel_Rarely	Female	1	Sales Representative	2	3931	2	No	11	6	4
32	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	3730	0	Yes	14	4	3
39	No	Travel_Rarely	Female	1	Laboratory Technician	3	2232	7	No	14	7	3
32	No	Non-Travel	Male	2	Sales Executive	4	4465	0	No	18	4	3
41	No	Travel_Rarely	Male	2	Research Scientist	1	3072	2	No	16	17	1
40	No	Travel_Rarely	Male	2	Research Scientist	4	3319	1	No	17	9	9
45	No	Travel_Rarely	Male	5	Manager	4	19202	0	No	11	25	24
31	No	Travel_Frequently	Male	3	Research Director	3	13675	9	No	12	9	2
33	No	Travel_Rarely	Female	1	Research Scientist	4	2911	1	No	13	2	2
34	No	Travel_Rarely	Male	2	Manufacturing Director	1	5957	6	No	13	13	11
37	No	Travel_Rarely	Female	1	Research Scientist	1	3920	2	No	14	17	3
45	No	Travel_Frequently	Male	2	Manufacturing Director	3	6434	4	No	17	9	3
37	Yes	Travel_Frequently	Male	3	Manufacturing Director	3	10048	6	No	11	17	1
39	No	Travel_Frequently	Female	3	Healthcare Representative	3	10938	0	No	25	20	19
29	No	Travel_Rarely	Male	1	Research Scientist	4	2340	1	No	19	6	6
42	No	Travel_Rarely	Female	2	Research Scientist	1	6545	3	Yes	13	10	3
29	No	Travel_Rarely	Male	2	Sales Executive	4	6931	2	No	14	10	3
25	No	Travel_Rarely	Female	2	Manufacturing Director	3	4898	0	No	12	5	4
42	No	Travel_Rarely	Female	1	Laboratory Technician	1	2593	0	Yes	11	10	9
40	No	Travel_Rarely	Male	5	Research Director	3	19436	0	No	19	22	21
51	No	Travel_Rarely	Male	1	Research Scientist	4	2723	1	No	11	1	1
31	Yes	Travel_Frequently	Male	1	Laboratory Technician	2	3479	0	No	11	6	5
32	No	Travel_Frequently	Male	1	Laboratory Technician	2	2794	1	No	20	5	5
38	No	Non-Travel	Male	2	Sales Executive	4	5249	3	No	18	13	8
32	No	Travel_Rarely	Male	2	Laboratory Technician	1	2176	4	No	13	9	6
46	No	Travel_Rarely	Female	4	Manager	2	16872	3	Yes	12	28	7
28	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	3485	2	No	11	5	0
29	No	Travel_Rarely	Male	2	Sales Executive	2	6644	2	No	19	10	0
31	No	Travel_Rarely	Male	2	Healthcare Representative	4	5582	0	No	21	10	9
25	No	Non-Travel	Male	2	Healthcare Representative	1	4000	1	No	12	6	6
45	No	Travel_Rarely	Male	4	Healthcare Representative	4	13496	0	Yes	14	21	20
36	No	Travel_Rarely	Male	1	Laboratory Technician	4	3210	0	No	11	16	15
55	No	Travel_Rarely	Male	5	Manager	1	19045	0	Yes	14	37	36
47	Yes	Non-Travel	Male	3	Manager	2	11849	1	Yes	12	10	10
28	No	Travel_Rarely	Male	1	Research Scientist	4	2070	1	No	23	5	5
37	No	Travel_Rarely	Male	2	Sales Executive	4	6502	4	No	14	7	5
21	No	Travel_Rarely	Male	1	Research Scientist	3	3230	1	No	17	3	3
37	No	Non-Travel	Female	3	Research Director	4	13603	2	Yes	18	15	5
35	No	Travel_Rarely	Female	3	Manager	2	11996	7	No	18	10	7
38	No	Travel_Rarely	Female	2	Sales Executive	1	5605	1	Yes	24	8	8
26	No	Travel_Frequently	Female	2	Manufacturing Director	2	6397	1	No	20	6	6
50	No	Travel_Rarely	Male	5	Research Director	2	19144	3	No	14	28	10
53	No	Travel_Rarely	Male	4	Research Director	3	17584	3	Yes	16	21	5
42	No	Travel_Rarely	Male	2	Sales Executive	3	4907	1	No	25	20	20
29	No	Travel_Frequently	Male	2	Sales Executive	4	4554	1	No	18	10	10
55	No	Travel_Rarely	Male	2	Laboratory Technician	4	5415	3	Yes	19	12	10
26	No	Travel_Frequently	Male	2	Healthcare Representative	1	4741	1	Yes	13	5	5
37	No	Travel_Rarely	Female	1	Research Scientist	4	2115	1	No	12	17	17
44	Yes	Travel_Frequently	Male	1	Laboratory Technician	3	3161	3	Yes	22	19	1
38	No	Travel_Rarely	Male	2	Healthcare Representative	4	5745	9	No	14	10	2
26	Yes	Travel_Rarely	Male	1	Laboratory Technician	2	2373	2	Yes	13	5	3
28	No	Travel_Rarely	Female	1	Research Scientist	4	3310	1	No	21	5	5
49	No	Travel_Frequently	Female	5	Research Director	1	18665	9	Yes	11	22	3
36	No	Travel_Rarely	Male	2	Research Scientist	2	4485	4	No	12	10	8
31	No	Travel_Frequently	Female	1	Sales Representative	2	2789	1	No	11	2	2
26	Yes	Travel_Rarely	Male	2	Sales Executive	4	5828	1	Yes	12	8	8
37	No	Travel_Frequently	Male	1	Research Scientist	4	2326	1	Yes	12	4	4
42	No	Travel_Frequently	Female	4	Sales Executive	2	13525	5	No	14	23	20
18	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	1420	1	No	13	0	0
35	No	Travel_Rarely	Male	3	Sales Executive	2	8020	0	No	15	12	11
36	No	Travel_Frequently	Male	1	Laboratory Technician	4	3688	4	No	18	4	1
51	No	Travel_Rarely	Male	2	Manufacturing Director	2	5482	5	No	18	13	4
41	No	Travel_Rarely	Male	4	Manager	2	16015	1	No	19	22	22
18	No	Travel_Rarely	Female	1	Sales Representative	3	1200	1	No	12	0	0
28	No	Travel_Rarely	Male	2	Healthcare Representative	1	5661	0	No	19	9	8
31	No	Travel_Rarely	Male	2	Sales Executive	4	6929	4	No	11	10	8
39	No	Travel_Rarely	Male	3	Healthcare Representative	4	9613	0	No	17	19	18
36	No	Non-Travel	Female	2	Laboratory Technician	2	5674	7	No	15	11	9
32	No	Travel_Rarely	Male	2	Sales Executive	3	5484	1	No	14	13	13
38	No	Travel_Rarely	Female	3	Research Director	2	12061	3	No	17	19	10
58	No	Non-Travel	Male	2	Healthcare Representative	3	5660	2	Yes	13	12	5
31	No	Travel_Rarely	Male	1	Research Scientist	4	4821	0	Yes	12	6	5
31	No	Travel_Rarely	Male	2	Human Resources	1	6410	3	No	12	9	2
45	No	Travel_Frequently	Male	3	Laboratory Technician	1	5210	1	No	18	24	24
31	No	Travel_Rarely	Male	1	Research Scientist	4	2695	0	Yes	18	3	2
33	No	Travel_Frequently	Female	3	Manager	2	11878	6	No	11	12	10
39	No	Travel_Rarely	Male	4	Manager	1	17068	1	Yes	14	21	21
43	No	Travel_Frequently	Female	1	Laboratory Technician	4	2455	0	No	19	9	8
49	No	Travel_Rarely	Female	4	Healthcare Representative	3	13964	7	Yes	12	25	7
52	Yes	Travel_Rarely	Male	2	Research Scientist	2	4941	2	No	15	11	8
27	No	Travel_Rarely	Female	1	Research Scientist	2	2478	1	Yes	12	4	4
32	No	Travel_Rarely	Female	2	Sales Executive	2	5228	1	Yes	11	13	13
27	No	Travel_Rarely	Male	2	Sales Executive	3	4478	1	Yes	11	5	5
31	No	Travel_Rarely	Male	2	Sales Executive	4	7547	4	No	12	13	7
32	No	Travel_Rarely	Female	2	Research Scientist	4	5055	7	No	16	10	7
28	Yes	Travel_Rarely	Male	1	Research Scientist	4	3464	5	Yes	13	5	3
30	No	Travel_Rarely	Female	2	Research Scientist	4	5775	1	No	13	11	10
31	No	Travel_Frequently	Female	3	Manufacturing Director	3	8943	1	No	24	10	10
39	No	Travel_Frequently	Male	5	Manager	4	19272	1	No	15	21	21
39	Yes	Travel_Rarely	Female	2	Sales Executive	3	5238	4	Yes	18	12	1
33	No	Travel_Frequently	Male	2	Sales Executive	4	4682	3	No	14	9	7
47	No	Travel_Rarely	Male	5	Research Director	3	18300	4	No	11	21	3
43	No	Travel_Frequently	Female	2	Laboratory Technician	3	5257	1	No	11	9	9
27	No	Non-Travel	Male	2	Sales Executive	2	6349	0	Yes	13	6	5
54	No	Travel_Frequently	Female	2	Research Scientist	3	4869	3	No	12	20	4
43	No	Travel_Rarely	Female	3	Healthcare Representative	1	9985	8	No	16	10	1
45	No	Travel_Rarely	Male	2	Research Scientist	4	3697	9	No	14	12	10
40	No	Travel_Rarely	Male	2	Sales Executive	4	7457	2	Yes	22	6	4
